question,chunk_id,doc_id,source,title
How did José Mourinho respond to his first major defeat of the 2018-19 season?,3af978152d6a,369ca78a8733,wikipedia,José Mourinho
What did Mourinho hold up at his press conference four days after the 3-0 home loss to Tottenham Hotspur?,3af978152d6a,369ca78a8733,wikipedia,José Mourinho
How did Mourinho react to Marco Ianni's celebration in the dugout after Chelsea's 96th-minute equaliser?,3af978152d6a,369ca78a8733,wikipedia,José Mourinho
Which player scored for Switzerland in the 48th minute of the match?,f6c52652582c,3b7f2f830584,statsbomb,Wales vs Switzerland - UEFA Euro 2020
How did the passing statistics compare between Wales and Switzerland in the match?,f6c52652582c,3b7f2f830584,statsbomb,Wales vs Switzerland - UEFA Euro 2020
Who scored the equalizing goal for Wales in the 73rd minute of the match?,f6c52652582c,3b7f2f830584,statsbomb,Wales vs Switzerland - UEFA Euro 2020
How did the high-passing volume of Germany impact their overall play in the match?,0bb259839ea5,71e6159d74c3,statsbomb,Costa Rica vs Germany - FIFA World Cup 2022
What changes in Costa Rica's strategy might have led to Yeltsin Ignacio Tejeda Valverde scoring the equalizer in the 57th minute?,0bb259839ea5,71e6159d74c3,statsbomb,Costa Rica vs Germany - FIFA World Cup 2022
Did Costa Rica's passing attempt total of 374 suggest that they were playing a more defensive or possession-based style of football?,0bb259839ea5,71e6159d74c3,statsbomb,Costa Rica vs Germany - FIFA World Cup 2022
"What tactics is Paolo Fonseca using to achieve success with Roma, and how does it differ from traditional training methods?",bc47c83a376b,d0631bf40f92,youtube,Tactics Explained: Roma
How has Fonseca's experience and success at Shakhtar Donetsk influenced his approach to managing Roma in Serie A and Europe?,bc47c83a376b,d0631bf40f92,youtube,Tactics Explained: Roma
What specific benefits can be expected from Fonseca's use of Vitorfrada's tactical periodization method in training sessions?,bc47c83a376b,d0631bf40f92,youtube,Tactics Explained: Roma
"Can the 4-4-2 structure still be effective in modern football, particularly when used as an out-of-possession strategy?",5dbfe20ee508,89b038ef2bc7,youtube,The Return of the 4-4-2
How does the 4-4-2 press shape offer advantages in terms of defensive coverage and protection across the pitch?,5dbfe20ee508,89b038ef2bc7,youtube,The Return of the 4-4-2
